Speed (RPM),Torque (Nm),System Eff,Drive,Motor
540,2,0.497989,0.653573,0.761949
540,4,0.657467,0.765556,0.858811
540,6,0.73364,0.821034,0.893557
540,8,0.777842,0.853426,0.911435
540,10,0.802782,0.874232,0.918271
540,12,0.821261,0.888776,0.924036
540,14,0.833176,0.899461,0.926306
540,16,0.839654,0.907248,0.925496
540,18,0.845219,0.913306,0.925449
540,20,0.849916,0.917596,0.926242
720,2,0.523391,0.711387,0.735734
720,4,0.674621,0.808011,0.834915
720,6,0.750912,0.853285,0.880024
720,8,0.793107,0.879791,0.901471
720,10,0.818196,0.897187,0.911957
720,12,0.833972,0.908829,0.917634
720,14,0.848151,0.917557,0.924359
720,16,0.855272,0.9239,0.92572
720,18,0.86107,0.928381,0.927496
720,20,0.86397,0.932459,0.926551
720,22,0.867703,0.935384,0.927644
720,24,0.869536,0.93759,0.927417
900,2,0.525372,0.75639,0.694578
900,4,0.676582,0.838854,0.806555
900,6,0.751676,0.876793,0.857301
900,8,0.794247,0.899526,0.882962
900,10,0.819772,0.91398,0.896925
900,12,0.838475,0.923318,0.90811
900,14,0.85093,0.930705,0.914286
900,16,0.862816,0.935639,0.922168
900,18,0.867987,0.939378,0.924002
900,20,0.870969,0.942746,0.923864
900,22,0.873324,0.945059,0.924094
900,24,0.878276,0.947092,0.92734
900,26,0.878522,0.948427,0.926293
900,28,0.880071,0.949697,0.926686
900,40,0.874293,0.952276,0.918109
1080,2,0.515243,0.795444,0.647743
1080,4,0.672755,0.863386,0.779205
1080,6,0.750723,0.895095,0.838707
1080,8,0.793627,0.913942,0.868356
1080,10,0.822179,0.925362,0.888495
1080,12,0.839789,0.933713,0.899408
1080,14,0.855208,0.939383,0.910393
1080,16,0.863631,0.943989,0.914874
1080,18,0.869009,0.947459,0.917199
1080,20,0.875503,0.95003,0.921553
1080,22,0.880665,0.951781,0.925281
1080,24,0.88307,0.953675,0.925965
1080,26,0.885109,0.954852,0.926959
1080,28,0.885411,0.955882,0.926276
1080,30,0.887749,0.956999,0.927638
1260,2,0.505683,0.82181,0.615328
1260,4,0.664285,0.880715,0.754256
1260,6,0.741533,0.908064,0.816609
1260,8,0.78817,0.924966,0.852107
1260,10,0.817239,0.934538,0.874484
1260,12,0.836475,0.942043,0.887937
1260,14,0.851629,0.94676,0.89952
1260,16,0.860796,0.95047,0.905653
1260,18,0.870247,0.953242,0.912934
1260,20,0.875264,0.955586,0.915944
1260,22,0.880525,0.957159,0.919935
1260,24,0.883932,0.958405,0.922295
1260,26,0.886594,0.959269,0.92424
1260,28,0.888359,0.960336,0.92505
1260,30,0.888795,0.960828,0.92503
1260,32,0.890187,0.961148,0.92617
1440,2,0.493634,0.844999,0.584182
1440,4,0.653355,0.895321,0.729744
1440,6,0.732766,0.919513,0.796907
1440,8,0.779682,0.933261,0.835438
1440,10,0.810429,0.943511,0.85895
1440,12,0.832471,0.949295,0.876936
1440,14,0.847554,0.95351,0.888878
1440,16,0.859559,0.956732,0.898432
1440,18,0.867171,0.958922,0.904319
1440,20,0.874927,0.960758,0.910663
1440,22,0.879249,0.962285,0.91371
1440,24,0.883063,0.963136,0.916862
1440,26,0.885487,0.963666,0.918874
1440,28,0.887771,0.964515,0.920433
1440,30,0.891058,0.965053,0.923326
1440,32,0.891035,0.965548,0.922828
1440,34,0.893079,0.965633,0.924863
1620,2,0.482354,0.868663,0.555284
1620,4,0.64557,0.90962,0.709713
1620,6,0.727394,0.930767,0.781499
1620,8,0.774133,0.941829,0.821946
1620,10,0.806259,0.94932,0.849302
1620,12,0.827644,0.954848,0.866781
1620,14,0.843802,0.958635,0.880212
1620,16,0.856522,0.961023,0.89126
1620,18,0.864919,0.962918,0.898227
1620,20,0.872303,0.964276,0.90462
1620,22,0.877367,0.965413,0.9088
1620,24,0.881821,0.966459,0.912425
1620,26,0.886103,0.967163,0.916188
1620,28,0.888464,0.967506,0.918303
1620,30,0.890645,0.967723,0.920351
1620,32,0.892608,0.967953,0.92216
1620,34,0.89292,0.968297,0.922155
1620,36,0.894089,0.968074,0.923575
1620,38,0.894488,0.968006,0.924052
1620,40,0.894243,0.967861,0.923937
1800,2,0.46718,0.887161,0.526601
1800,4,0.629095,0.922865,0.681676
1800,6,0.711672,0.939861,0.75721
1800,8,0.76119,0.949822,0.801402
1800,10,0.794911,0.956383,0.831164
1800,12,0.819405,0.960263,0.853313
1800,14,0.835346,0.962958,0.867479
1800,16,0.849135,0.96488,0.880042
1800,18,0.85934,0.966826,0.888826
1800,20,0.867758,0.9679,0.896536
1800,22,0.874035,0.968792,0.90219
1800,24,0.878896,0.968885,0.907121
1800,26,0.88291,0.969993,0.910223
1800,28,0.887029,0.9701,0.914369
1800,30,0.888435,0.970394,0.91554
1800,32,0.890805,0.9701,0.918261
1800,34,0.892339,0.970164,0.919781
1800,36,0.893603,0.970212,0.921039
1800,38,0.893975,0.969955,0.921666
1800,40,0.894804,0.969733,0.922733
1800,42,0.894569,0.969279,0.922923
1800,44,0.895266,0.969314,0.923608
1980,2,0.450219,0.901524,0.499397
1980,4,0.615412,0.931638,0.66057
1980,6,0.702335,0.946838,0.741769
1980,8,0.75548,0.955322,0.790812
1980,10,0.788273,0.960699,0.82052
1980,12,0.812296,0.964145,0.842504
1980,14,0.830159,0.966748,0.858712
1980,16,0.84369,0.968394,0.871226
1980,18,0.854592,0.969873,0.881139
1980,20,0.863358,0.970559,0.889547
1980,22,0.86935,0.971513,0.894841
1980,24,0.875991,0.971724,0.901481
1980,26,0.880212,0.972264,0.905322
1980,28,0.8837,0.972421,0.908763
1980,30,0.886512,0.972513,0.911568
1980,32,0.888512,0.972356,0.913773
1980,34,0.890142,0.972115,0.915675
1980,36,0.892362,0.971936,0.918128
1980,38,0.892652,0.971547,0.918794
1980,40,0.89396,0.971197,0.920472
1980,42,0.893707,0.970975,0.920422
1980,44,0.893967,0.970754,0.920899
2160,2,0.430007,0.914826,0.470042
2160,4,0.598897,0.940666,0.636674
2160,6,0.688197,0.953403,0.721832
2160,8,0.741452,0.960236,0.772156
2160,10,0.777189,0.964952,0.805417
2160,12,0.804684,0.967466,0.831744
2160,14,0.824158,0.969821,0.849804
2160,16,0.839993,0.97117,0.864929
2160,18,0.852982,0.972842,0.876794
2160,20,0.86145,0.973664,0.884752
2160,22,0.867832,0.97413,0.890879
2160,24,0.873633,0.974453,0.896536
2160,26,0.877227,0.974424,0.900253
2160,28,0.881899,0.9748,0.904697
2160,30,0.884087,0.974396,0.907318
2160,32,0.887229,0.974227,0.910701
2160,34,0.889765,0.974418,0.913124
2160,36,0.891273,0.973904,0.915154
2160,38,0.891886,0.973173,0.916473
2160,40,0.893431,0.9733,0.91794
